0,1,2,3,4,5,llama_7B_wizardlm_20000/ckp15k_correct,llama_7B_wizardlm_20000/ckp15k_choiceA_probs,llama_7B_wizardlm_20000/ckp15k_choiceB_probs,llama_7B_wizardlm_20000/ckp15k_choiceC_probs,llama_7B_wizardlm_20000/ckp15k_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.38347945,0.38347945,0.18114287,0.0518983
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.34748596,0.34748596,0.27062234,0.03440577
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.3403209,0.18216065,0.41050535,0.06701316
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.2523479,0.41605133,0.19652873,0.13507208
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.30859807,0.21209615,0.39624777,0.083058044
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.31407753,0.31407753,0.33433378,0.03751121
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.77019703,0.1718542,0.046253927,0.011694824
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.17487314,0.15432501,0.61036724,0.060434543
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.377206,0.29376832,0.25924966,0.069776095
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.23211409,0.2980404,0.4073729,0.06247266
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.30427462,0.30427462,0.30427462,0.08717614
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.1774575,0.5818607,0.2010857,0.039596118
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.34815216,0.41995168,0.1750619,0.056834277
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.22650722,0.61571044,0.0887015,0.0690808
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,True,0.16362037,0.3056831,0.50398624,0.026710292
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.30369252,0.14345418,0.3441287,0.2087246
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.18048011,0.29756138,0.4905958,0.03136274
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,False,0.3006394,0.26531333,0.3006394,0.13340792
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.43921795,0.26639915,0.15178967,0.14259319
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.18735203,0.25607985,0.54212105,0.014447036
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.1900183,0.22920582,0.48522872,0.0955472
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.20260432,0.17879769,0.4029268,0.21567118
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.26194707,0.16912572,0.45973137,0.10919577
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.23124851,0.29692897,0.38126433,0.090558216
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,True,0.23328415,0.59571195,0.13292131,0.03808259
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,True,0.3632936,0.28293332,0.24968779,0.104085356
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.34985164,0.1652582,0.39643383,0.08845635
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.22929733,0.37804738,0.31341228,0.079243034
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.35804912,0.20401025,0.35804912,0.07989156
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,False,0.21506499,0.48465642,0.27614892,0.024129622
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.27212745,0.13683428,0.47759855,0.1134396
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.37463313,0.37463313,0.17696416,0.07376964
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,True,0.52319825,0.21810147,0.24714135,0.011558956
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.15967624,0.10309473,0.7156192,0.021609828
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.4054568,0.15877916,0.38089144,0.054872613
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.5185734,0.20307626,0.23011555,0.048234843
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,False,0.2038907,0.21704051,0.5206531,0.058415662
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,False,0.23367725,0.43656656,0.30004752,0.029708728
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.31005284,0.3513359,0.2736207,0.06499061
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,True,0.0959266,0.40386605,0.4576402,0.04256717
