0,1,2,3,4,5,llama2_chat_7B_alpacacode_alpacagpt4_52000_correct,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceA_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceB_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceC_probs,llama2_chat_7B_alpacacode_alpacagpt4_52000_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.005768617,0.02013445,0.0039647087,0.9701322
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.06984298,0.85086167,0.061636213,0.01765907
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.23679033,0.39040124,0.34452787,0.028280573
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.016179308,0.68796164,0.22334844,0.07251062
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.048030127,0.16764162,0.033010595,0.7513176
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.044188328,0.32651004,0.47506928,0.15423241
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.314371,0.4574071,0.03754626,0.19067563
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.09683735,0.14089751,0.20500466,0.55726045
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.83803105,0.08832782,0.036820516,0.036820516
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.04039434,0.7160068,0.06256398,0.18103488
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.0984999,0.30340105,0.38957468,0.2085243
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.02795909,0.23409861,0.43735376,0.30058855
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.014077101,0.8709194,0.09179423,0.023209216
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.0435235,0.8741929,0.026398338,0.05588528
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.020260245,0.76026005,0.11658966,0.10289001
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.016743539,0.7119534,0.23113742,0.040165663
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.1287532,0.5770318,0.24054264,0.05367232
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.24152315,0.5793839,0.07841109,0.10068183
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.036254175,0.9350075,0.024917105,0.003821162
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.040831093,0.72374845,0.18299226,0.052428164
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.09587588,0.4296859,0.17911972,0.2953185
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.021713775,0.2334451,0.6345695,0.11027165
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.4678877,0.41290945,0.06332172,0.055881217
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.12981066,0.27480915,0.35286194,0.24251823
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.21494733,0.3543882,0.029089957,0.40157446
