0,1,2,3,4,5,llama2_7B_ds2_alpaca_52000/epoch1_correct,llama2_7B_ds2_alpaca_52000/epoch1_choiceA_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceB_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceC_probs,llama2_7B_ds2_alpaca_52000/epoch1_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.04946956,0.043656733,0.87686896,0.030004805
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.44350412,0.1121354,0.34540135,0.09895915
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.4588124,0.13145195,0.27828377,0.13145195
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.42693272,0.15705977,0.2589478,0.15705977
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.19959591,0.78941715,0.008769632,0.0022173102
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.025470903,0.009370222,0.9557886,0.009370222
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.008547665,0.0027750202,0.98797566,0.000701635
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,True,0.33873922,0.18131405,0.33873922,0.14120752
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.8845117,0.07260514,0.030266326,0.012616881
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.8277896,0.08724838,0.05996488,0.02499708
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,True,0.38453156,0.11017014,0.20582493,0.29947346
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.22990575,0.3790505,0.29520482,0.09583897
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,False,0.6734376,0.0709798,0.19294311,0.06263946
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.08227225,0.135644,0.093226664,0.6888571
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.4745339,0.10588282,0.32614207,0.09344126
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.5294347,0.3638748,0.043458644,0.06323196
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.88546413,0.02359682,0.056605827,0.03433317
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.50134665,0.23681939,0.20899238,0.052841548
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,True,0.47038957,0.19608754,0.2517814,0.08174145
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9893974,0.002452471,0.0035683243,0.004581819
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.2700561,0.30601364,0.23832366,0.18560666
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.94143325,0.0033953385,0.05311203,0.002059377
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.70320547,0.08398592,0.17779818,0.03501054
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.5349142,0.17366122,0.25267556,0.038749054
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.491849,0.08547054,0.29832152,0.1243589
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,True,0.40206382,0.061658483,0.51626015,0.020017577
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.101562284,0.04233746,0.8503706,0.005729752
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.028922265,0.009389685,0.95777386,0.003914203
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.28643653,0.25277933,0.36779177,0.09299232
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.72005415,0.05216055,0.08599821,0.14178707
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.2682678,0.12672074,0.44229883,0.16271265
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.17310493,0.68464327,0.09265639,0.049595393
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.7439009,0.088846296,0.088846296,0.07840657
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.3699091,0.15420106,0.3699091,0.10598074
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.05180564,0.013098517,0.91827697,0.016818829
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.022818865,0.004493301,0.9702828,0.0024050907
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.048768427,0.070957646,0.8644411,0.015832791
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.11188585,0.04664096,0.7295874,0.11188585
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.28060392,0.5242371,0.1325479,0.06261119
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,False,0.44231358,0.44231358,0.087096706,0.02827616
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,True,0.14007446,0.07497646,0.55400527,0.23094375
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,True,0.8631694,0.04297467,0.023002684,0.070853256
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.34782186,0.07760955,0.44661212,0.12795652
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,True,0.17168532,0.049188666,0.76944023,0.009685824
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.3767352,0.10793645,0.3767352,0.13859314
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.046785496,0.8292928,0.046785496,0.07713625
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,True,0.8572175,0.05480008,0.025885725,0.06209663
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,True,0.98606783,0.007528721,0.005174409,0.0012290298
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.76068324,0.03342209,0.10294728,0.10294728
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,True,0.17475113,0.023649994,0.78318024,0.018418634
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.07879512,0.8471273,0.054155037,0.019922525
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,True,0.8723624,0.09194631,0.02324767,0.012443581
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,True,0.28234574,0.08089341,0.46550944,0.17125136
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.36615485,0.47015214,0.15263605,0.011056919
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.41342935,0.3219791,0.17234299,0.09224856
A business teacher has students analyze a scenario in which a few firms in the gas industry produce a homogeneous product and dominate the market. This situation would primarily produce a market structure representative of,an oligopoly,a pure monopoly,monopolistic competition,pure competition,A,True,0.77600414,0.03863497,0.09268048,0.09268048
In traditional English puppet shows who is married to the character Punch?,Debbie,Victoria,Judy,Barbara,C,False,0.33620113,0.2039163,0.33620113,0.123681486
In what sport do athletes compete for the Walker Cup?,cricket,tennis,squash,golf,D,False,0.034715008,0.89531183,0.030635886,0.03933726
A pita is a type of what?,Fresh Fruit,flat bread,French tart,fried bean dip,B,True,0.032755204,0.95724744,0.0073086745,0.002688711
What is the oldest permanent European settlement in the United States?,St Augustine Florida,Plymouth Massachusetts,Newport News Virginia,Charlotte North Carolina,B,False,0.8874609,0.09353769,0.014344469,0.0046569672
"As seen from Earth, the Moon goes through a series of phases due to changes in which of the following?",The amount of the Moon's surface that is in Earth's shadow,The amount of the illuminated side of the Moon that can be seen from Earth,The part of the Moon that faces Earth as the Moon rotates on its axis,The tilt of the Moon on its axis,B,False,0.4243955,0.33051956,0.13778104,0.107303984
In which of the following fields did Islamic civilization most influence Europeans at the time of the Crusades?,Music,Theology,Mathematics,Law,C,False,0.26727277,0.3888796,0.26727277,0.07657494
Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Wavy Gravy,Bovinity Divinity,Cutie Patootie,Chubby Hubby,C,True,0.34323543,0.23590204,0.3889367,0.03192587
Which of the following terms refers to the use of distortion to create the illusion of an object extending into space?,Cantilevering,Contrapposto,Sfumato,Foreshortening,D,True,0.025601124,0.037249416,0.0893567,0.8477928
How much energy do Americans waste each year by throwing out the unused ice in their drinks?,6*10^8 J,6*10^11 J,6*10^14 J,6*10^17 J,C,False,0.3790505,0.09583897,0.22990575,0.29520482
Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,A,True,0.9668042,0.0073816413,0.022737056,0.0030771259
What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,A,True,0.5111935,0.1464594,0.21309716,0.12924996
In an adult human how long is the large intestine?,one foot,five feet,twelve feet,twenty feet,B,False,0.22207285,0.09257374,0.5327251,0.1526283
The purpose of an amicus curiae brief is to,influence the outcome of a Supreme Court case,explain the reasoning of a Supreme Court decision,request a writ of habeas corpus from the Supreme Court,order a party to comply with a Supreme Court decision,A,True,0.6517105,0.21157943,0.09994305,0.03676699
What are the names of the two primary M&M's spokes-candies?,Peanut and Plain,Red and Yellow,Mort and Marty,They don't have names,B,False,0.8215834,0.16177936,0.013279659,0.0033576237
The accumulation of stress along the boundaries of lithospheric plates results in which of the following?,Earthquakes,Magnetic reversals,Hurricanes,Increased deposition of deep-sea sediments,A,True,0.8885826,0.034454085,0.02683287,0.050130397
In bowling how many pins must you knock down to get a strike?,zero,8,10,12,C,False,0.39413646,0.3069538,0.21096605,0.08794373
Which of the following geometric shapes is most commonly used to give strength to the structure of truss bridges?,Circle,Triangle,Hexagon,Rectangle,B,True,0.1987147,0.6120844,0.08283661,0.10636432
What kind of item is a ginsu?,radio,knife,toothbrush,martial arts weapon,B,True,0.2328048,0.7170893,0.045841984,0.004263969
Which of these words is a synonym for 'perambulate'?,kiss,shout,stroll,heal,C,True,0.009564547,0.010838052,0.9756104,0.0039870967
"After a visit to a rescue squad, Ms. Espinosa asks her 3-year-old students to help her write a thank-you letter to the rescue squad employees. She records the students' responses on a large sheet of chart paper as the students share their ideas. While writing, Ms. Espinosa focuses the students' attention on several early literacy skills. Which of the following is the most appropriate focus for 3-year-old students?",Paraphrasing ideas,Spelling words correctly,Expressing speech in print,Capitalizing proper nouns,C,True,0.044434194,0.01273061,0.89248466,0.05035054
What's the third letter of the Greek alphabet?,delta,gamma,phi,theta,B,False,0.35286197,0.12981066,0.24251826,0.27480918
