0,1,2,3,4,5,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_correct,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceA_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceB_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceC_probs,alpacacode_llama_7B_llamatokenizer_wizardlm_2000_gpt35op_Gptvic_Tptvicuna_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.03816395,0.17103897,0.5969846,0.19381253
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,False,0.06827252,0.23829451,0.34671646,0.34671646
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,False,0.20279567,0.3788722,0.15793742,0.2603948
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.18453014,0.23694138,0.07692361,0.5016049
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.41705933,0.5355148,0.02076416,0.026661709
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,False,0.023396764,0.41471756,0.36598694,0.1958987
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.024177516,0.22938989,0.7065706,0.03986199
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.18883003,0.35278094,0.14706098,0.31132808
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.6449288,0.3046428,0.041228916,0.009199415
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,True,0.29928893,0.493444,0.11010224,0.097164884
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.16517207,0.44898424,0.113520995,0.2723227
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,True,0.07337749,0.5421904,0.09421856,0.2902136
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.21519046,0.40202868,0.16759048,0.21519046
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,False,0.06269215,0.1931054,0.28096673,0.4632358
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,False,0.045804597,0.43458194,0.33845276,0.1811607
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,True,0.34299317,0.56550014,0.031903334,0.059603274
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,False,0.22592203,0.2900896,0.15527378,0.3287146
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,False,0.44146276,0.5002428,0.011764584,0.046529833
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.19305666,0.40870097,0.15035269,0.24788967
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.84616107,0.10105953,0.010651596,0.042127877
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.07758033,0.64957213,0.14493914,0.12790833
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.51108253,0.45102873,0.0224554,0.015433355
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,False,0.29514402,0.3789724,0.12303433,0.20284933
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,True,0.15390794,0.47406983,0.17440055,0.1976217
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,False,0.2424461,0.5132584,0.11452343,0.12977205
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.23071587,0.43103397,0.17968169,0.15856855
What kind of animal is a peregrine?,moose,cat,bird,fish,C,False,0.08850309,0.6539543,0.12877125,0.12877125
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.018786112,0.20196974,0.70494366,0.07430051
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.4798019,0.3297627,0.08337707,0.10705828
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.66312414,0.21528488,0.04239211,0.07919889
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.412909,0.3643909,0.118300416,0.10439975
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.20122956,0.5469986,0.095054105,0.15671773
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.37703365,0.5485807,0.016565703,0.057819977
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,False,0.24702455,0.5925811,0.080197126,0.080197126
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,False,0.014030955,0.76606417,0.17093202,0.04897284
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.04564574,0.23180817,0.49073792,0.23180817
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,False,0.10322517,0.36029124,0.3179559,0.21852769
What do you call a young cow?,mare,lamb,kid,calf,D,False,0.28718963,0.53654087,0.119718455,0.05655099
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,True,0.13747439,0.69815254,0.05730785,0.10706516
Operant conditioning would be most useful for,determining whether a toddler is securely attached,increasing on-task behavior in the classroom,measuring a dependent variable,preventing anterograde amnesia,B,True,0.20055315,0.33065623,0.17698753,0.2918031
Which of these countries was not a member of the Axis alliance during World War II?,Germany,Italy,Spain,Japan,C,False,0.09187157,0.4665623,0.029826328,0.41173977
The demand for labor is called derived demand because it is,dependent on the demand for the final product that the labor is used to produce,inversely related to the wage rate,dependent on the availability of capital goods,directly related to the marginal utility of working,A,False,0.24167733,0.39845854,0.1465847,0.2132795
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B,False,0.12876844,0.30889943,0.21230327,0.3500289
Which of the following is a force that is most responsible for causing a fixed-wing aircraft to move forward?,Lift,Drag,Thrust,Weight,C,False,0.20757776,0.7245176,0.036071606,0.031833082
Which of the following heavenly bodies have never had a spacecraft landed on it?,Venus,Mars,The Moon,Jupiter,D,False,0.10100591,0.39948612,0.14696273,0.35254526
The labor force primarily consists of all,employed workers under the age of 16,persons classified as unemployed or employed,persons who are employed as full-time workers,"unemployed, employed, and discouraged workers",B,True,0.1526283,0.5327251,0.09257374,0.22207285
Which of the following is an example of persuasive speech?,A campaign manager's introduction of a mayoral candidate,A professor's lecture on the structure of the heart,A company president's yearly sales report,A tour guide's discussion of an art museum installation,A,False,0.2207728,0.41245788,0.1948313,0.17193802
What is the name of the POW camp where 'Hogan's Heroes' are held?,Stalag 13,Alcatraz 17,Devil's Island,Leavenworth,A,False,0.3668834,0.53381217,0.049652267,0.049652267
Which value is the most reasonable estimate of the volume of air an adult breathes in one day?,100 liters,"1,000 liters","10,000 liters","100,000 liters",C,False,0.23839776,0.3468667,0.14459555,0.27014005
What is a Dutch oven?,a toaster oven,a microwave,a kettle pot,a sauna,C,False,0.07628606,0.43899596,0.30171722,0.18300074
What does it mean to work 'probono'?,work overtime,work without pay,work as your own boss,not work at all,B,True,0.06355121,0.5321078,0.081601374,0.3227397
What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,A,False,0.4013828,0.4548263,0.042305436,0.10148547
Which of these is not a Hindudeity?,Shiva,Vishnu,Sanskrit,Brahma,C,False,0.14113085,0.43471363,0.08560019,0.3385553
What kind of angle is formed where two perpendicular lines meet?,obtuse,acute,right,invisible,C,False,0.42391866,0.48036277,0.06501003,0.030708564
The nineteenth-century photographic process used to create a daguerreotype was notable for its,quick exposure time,ability to capture sharp detail,capacity to be reproduced multiple times,use of paper negatives,B,False,0.11727359,0.24826822,0.17063208,0.46382606
