0,1,2,3,4,5,llama2_7B_ds_alpaca_52000/epoch1_correct,llama2_7B_ds_alpaca_52000/epoch1_choiceA_probs,llama2_7B_ds_alpaca_52000/epoch1_choiceB_probs,llama2_7B_ds_alpaca_52000/epoch1_choiceC_probs,llama2_7B_ds_alpaca_52000/epoch1_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.017631035,0.015559334,0.004187738,0.9626219
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.060782883,0.06887603,0.32858914,0.5417519
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.02438248,0.04555247,0.85951203,0.07055304
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.08515175,0.1318856,0.1918924,0.59107023
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.017501237,0.019831501,0.06502499,0.89764225
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.059316803,0.091871664,0.24973306,0.5990785
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.11229447,0.7794781,0.020772386,0.08745502
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.0054970747,0.0085140355,0.7664091,0.21957989
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.1620664,0.18364531,0.01330322,0.6409851
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.025131654,0.8859213,0.016226215,0.07272085
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.05694881,0.09994827,0.05694881,0.78615403
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,True,0.043052442,0.08562,0.40847015,0.46285734
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.028553452,0.068496175,0.068496175,0.83445424
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.09214024,0.4395765,0.12594078,0.34234253
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.024575312,0.031555325,0.021687638,0.9221818
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.023755772,0.106465995,0.17553274,0.69424546
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,False,0.023013731,0.07545912,0.8635839,0.03794323
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.11337629,0.6524355,0.04726227,0.1869259
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,False,0.46566653,0.091695175,0.031689007,0.41094926
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.06840292,0.12779348,0.06840292,0.7354007
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.035731174,0.14131954,0.26401964,0.5589296
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.05876595,0.17004491,0.5237752,0.24741389
−4 +  ( −3 )=,−7,−1,1,7,A,False,0.082156904,0.22332563,0.08745558,0.607062
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,False,0.07498302,0.15873908,0.054858755,0.71141917
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.044201482,0.0684606,0.053317163,0.8340208
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.07948967,0.24484544,0.010105978,0.6655589
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,True,0.03232579,0.034410626,0.099570446,0.83369315
