0,1,2,3,4,5,llama_7B_ds_alpaca_52000/epoch1_correct,llama_7B_ds_alpaca_52000/epoch1_choiceA_probs,llama_7B_ds_alpaca_52000/epoch1_choiceB_probs,llama_7B_ds_alpaca_52000/epoch1_choiceC_probs,llama_7B_ds_alpaca_52000/epoch1_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.052767713,0.56730634,0.1434375,0.23648846
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.04904646,0.5272991,0.10383135,0.3198231
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.20663032,0.26531857,0.38603625,0.1420148
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.012690492,0.5396134,0.120404035,0.32729208
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,False,0.04634153,0.12596935,0.43967623,0.38801292
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.036719438,0.30744812,0.30744812,0.34838435
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.27828395,0.5199028,0.0703612,0.13145202
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.014901495,0.08575218,0.81359404,0.08575218
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.374448,0.3304492,0.09467528,0.20042758
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.11719537,0.76420975,0.03804776,0.08054711
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.11614892,0.58985287,0.10250106,0.19149719
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.016638238,0.5509828,0.20269524,0.22968379
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,False,0.089862816,0.6640014,0.11538614,0.13074963
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.020882022,0.8879261,0.03442863,0.056763213
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.16660261,0.45287284,0.16660261,0.21392198
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,True,0.059458982,0.49784395,0.20753223,0.23516482
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.16271265,0.44229883,0.2682678,0.12672074
