0,1,2,3,4,5,llama_7B_ds_alpaca_20000/epoch3_correct,llama_7B_ds_alpaca_20000/epoch3_choiceA_probs,llama_7B_ds_alpaca_20000/epoch3_choiceB_probs,llama_7B_ds_alpaca_20000/epoch3_choiceC_probs,llama_7B_ds_alpaca_20000/epoch3_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.078915894,0.13011031,0.042240635,0.74873316
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.219266,0.36150852,0.17076454,0.24846093
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.27120194,0.27120194,0.18639418,0.27120194
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,True,0.16271265,0.44229883,0.12672074,0.2682678
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.08757818,0.39249817,0.12742549,0.39249817
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.21795328,0.31712013,0.24697341,0.21795328
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.28505525,0.46997666,0.07207326,0.17289476
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.2963333,0.20366672,0.2963333,0.20366672
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.40148845,0.27593872,0.07905777,0.24351506
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.26531863,0.3860363,0.20663035,0.14201483
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,False,0.09233015,0.7730709,0.02997521,0.104623765
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.16147111,0.43892398,0.09793718,0.30166775
